,user_id,visit_time,checkout_time,time
16,ad7a3539-ad48-4b0e-bcc3-8c0dff722908,2017-06-13 08:28:00,2017-06-13 08:40:00,0 days 00:12:00
17,ad7a3539-ad48-4b0e-bcc3-8c0dff722908,2017-06-13 08:28:00,2017-06-13 08:50:00,0 days 00:22:00
18,10dbd3c5-d610-44e9-9994-110a7950b6b4,2017-08-09 21:01:00,2017-08-09 21:07:00,0 days 00:06:00
19,10dbd3c5-d610-44e9-9994-110a7950b6b4,2017-08-09 21:01:00,2017-08-09 21:04:00,0 days 00:03:00
20,9e744240-18e8-4da0-9e05-89b116245c15,2017-11-02 20:01:00,2017-11-02 20:04:00,0 days 00:03:00
21,b2b04aa6-3ef1-46d6-939b-215126b4b91b,2017-05-03 13:15:00,2017-05-03 13:19:00,0 days 00:04:00
22,b2b04aa6-3ef1-46d6-939b-215126b4b91b,2017-05-03 13:15:00,2017-05-03 13:15:00,0 days 00:00:00
23,b2b04aa6-3ef1-46d6-939b-215126b4b91b,2017-05-03 13:15:00,2017-05-03 13:25:00,0 days 00:10:00
24,f8123e12-d349-4efe-ae65-9494630bee6c,2017-02-22 13:16:00,2017-02-22 13:44:00,0 days 00:28:00
25,0d798d59-fb81-40ae-8ab1-d4beaffe8715,2017-01-18 17:26:00,2017-01-18 17:48:00,0 days 00:22:00
26,0d798d59-fb81-40ae-8ab1-d4beaffe8715,2017-01-18 17:26:00,2017-01-18 17:38:00,0 days 00:12:00
27,f5f90dcf-15a0-432b-9886-9e4b5907a1cc,2017-07-10 11:39:00,2017-07-10 12:08:00,0 days 00:29:00
28,f5f90dcf-15a0-432b-9886-9e4b5907a1cc,2017-07-10 11:39:00,2017-07-10 12:03:00,0 days 00:24:00
29,65599d0d-76c2-4ad4-a717-70f12a187f1a,2017-02-15 07:21:00,2017-02-15 07:27:00,0 days 00:06:00
30,31f1be0d-4502-4616-a7d6-a90163b8bb54,2017-11-11 03:51:00,2017-11-11 03:57:00,0 days 00:06:00
31,62173c69-bec8-4a5d-951c-b860df94adc2,2017-05-03 23:39:00,2017-05-04 00:08:00,0 days 00:29:00
32,62173c69-bec8-4a5d-951c-b860df94adc2,2017-05-03 23:39:00,2017-05-04 00:07:00,0 days 00:28:00
33,147d51cd-95d7-48f7-871d-112e7e7f47fb,2017-06-09 13:43:00,2017-06-09 14:09:00,0 days 00:26:00
34,147d51cd-95d7-48f7-871d-112e7e7f47fb,2017-06-09 13:43:00,2017-06-09 14:09:00,0 days 00:26:00
35,a132e177-12ad-4690-abda-3815171e7628,2017-10-07 07:51:00,2017-10-07 08:09:00,0 days 00:18:00
36,ccd0db8b-5e94-4103-a0b0-14ba5289c6f3,2017-08-19 05:54:00,2017-08-19 06:12:00,0 days 00:18:00
37,6d746f96-30eb-49df-8131-9ab61e8b9b20,2017-06-20 07:34:00,2017-06-20 07:54:00,0 days 00:20:00
38,b88f18c2-e4a5-4ec6-ab66-cdac57f5d7ee,2017-10-05 08:21:00,2017-10-05 08:48:00,0 days 00:27:00
39,0b6b993f-3364-46ee-9baa-12b7fa546927,2017-03-06 23:50:00,2017-03-06 23:59:00,0 days 00:09:00
40,34b2bf31-9ce0-4bb7-8f18-624ff4f4e904,2017-02-13 15:16:00,2017-02-13 15:39:00,0 days 00:23:00
41,34b2bf31-9ce0-4bb7-8f18-624ff4f4e904,2017-02-13 15:16:00,2017-02-13 15:25:00,0 days 00:09:00
42,d722f212-04e9-482d-8f72-9d0df4cc8e6a,2017-02-21 19:38:00,2017-02-21 20:03:00,0 days 00:25:00
43,e0a4f35c-e96a-4eab-abbc-e8406a79b3e7,2017-04-22 16:16:00,2017-04-22 16:34:00,0 days 00:18:00
44,cc90d623-e2d8-468b-aa8b-912d7b9b67c8,2017-02-17 18:20:00,2017-02-17 18:22:00,0 days 00:02:00
45,cc90d623-e2d8-468b-aa8b-912d7b9b67c8,2017-02-17 18:20:00,2017-02-17 18:27:00,0 days 00:07:00
46,3e5aa90a-279f-4ef8-99a2-9262604e9acc,2017-04-14 04:12:00,2017-04-14 04:25:00,0 days 00:13:00
47,851b52d1-31e9-468d-834f-5363fee108ac,2017-09-21 21:55:00,2017-09-21 22:06:00,0 days 00:11:00
48,851b52d1-31e9-468d-834f-5363fee108ac,2017-09-21 21:55:00,2017-09-21 22:24:00,0 days 00:29:00
49,cb602c66-1366-467a-8bee-52477310cf42,2017-07-03 06:15:00,2017-07-03 06:32:00,0 days 00:17:00
50,cb602c66-1366-467a-8bee-52477310cf42,2017-07-03 06:15:00,2017-07-03 06:37:00,0 days 00:22:00
51,3a46dc74-4505-4a1a-8dde-4268a7484321,2017-09-17 22:34:00,2017-09-17 23:00:00,0 days 00:26:00
52,67905d3e-5332-4927-a8ca-7ae9daabc7b8,2017-05-20 03:25:00,2017-05-20 03:44:00,0 days 00:19:00
53,d2ae16fa-abc6-4755-af80-5010a7c6a103,2017-04-19 03:05:00,2017-04-19 03:21:00,0 days 00:16:00
54,20fee849-260d-439f-a63c-bc2a0ebb6eb9,2017-01-04 10:43:00,2017-01-04 10:58:00,0 days 00:15:00
55,010db559-8316-46b5-be65-207cecba63a6,2017-04-05 10:34:00,2017-04-05 10:42:00,0 days 00:08:00
56,010db559-8316-46b5-be65-207cecba63a6,2017-04-05 10:34:00,2017-04-05 10:35:00,0 days 00:01:00
57,287c13f5-9a9a-4c3a-9f0d-13853e8aad9b,2017-03-27 23:30:00,2017-03-27 23:44:00,0 days 00:14:00
58,280c9dcb-2c9f-4f33-ada1-92196c0b1d37,2017-04-10 14:55:00,2017-04-10 14:57:00,0 days 00:02:00
59,f74519df-e961-4841-acdb-2d47da194aba,2017-11-17 21:05:00,2017-11-17 21:08:00,0 days 00:03:00
60,7fe800cc-46e8-427c-a7af-f27198d305a1,2017-01-18 12:50:00,2017-01-18 13:09:00,0 days 00:19:00
61,7fe800cc-46e8-427c-a7af-f27198d305a1,2017-01-18 12:50:00,2017-01-18 13:14:00,0 days 00:24:00
62,fe90a9f4-960a-4a0d-9160-e562adb79365,2017-11-09 09:04:00,2017-11-09 09:25:00,0 days 00:21:00
63,52b650a4-f315-4947-804f-19df5f971d85,2017-07-05 21:15:00,2017-07-05 21:42:00,0 days 00:27:00
64,9812465d-fded-43c4-8685-3e96446f6cc7,2017-07-19 17:02:00,2017-07-19 17:15:00,0 days 00:13:00
65,f41d2868-515d-49a2-b48c-e4f33e5d9b69,2017-09-07 16:40:00,2017-09-07 16:47:00,0 days 00:07:00
66,43db76fc-d522-450d-a371-ef2a683d5bfd,2017-03-26 21:11:00,2017-03-26 21:31:00,0 days 00:20:00
67,1a35b7eb-f603-407d-91be-a2c3304066fd,2017-08-15 21:09:00,2017-08-15 21:25:00,0 days 00:16:00
68,b7953447-00a8-42be-99d2-b511f4e9c12b,2017-04-24 10:13:00,2017-04-24 10:20:00,0 days 00:07:00
69,b7953447-00a8-42be-99d2-b511f4e9c12b,2017-04-24 10:13:00,2017-04-24 10:26:00,0 days 00:13:00
70,2f1e93f2-4d40-45e1-8371-7c65660f6bf9,2017-10-25 19:42:00,2017-10-25 19:49:00,0 days 00:07:00
71,2f1e93f2-4d40-45e1-8371-7c65660f6bf9,2017-10-25 19:42:00,2017-10-25 20:05:00,0 days 00:23:00
72,2d747792-db15-4549-abb8-ef352884b3db,2017-01-16 18:10:00,2017-01-16 18:30:00,0 days 00:20:00
73,2d747792-db15-4549-abb8-ef352884b3db,2017-01-16 18:10:00,2017-01-16 18:10:00,0 days 00:00:00
74,2d747792-db15-4549-abb8-ef352884b3db,2017-01-16 18:10:00,2017-01-16 18:39:00,0 days 00:29:00
75,23a8d1be-3f5c-4b59-aed7-c7f19c51612b,2017-08-11 13:49:00,2017-08-11 14:11:00,0 days 00:22:00
76,8d9ac96c-16be-418e-8df4-1a6202d0b36e,2017-10-07 10:23:00,2017-10-07 10:24:00,0 days 00:01:00
77,8d9ac96c-16be-418e-8df4-1a6202d0b36e,2017-10-07 10:23:00,2017-10-07 10:52:00,0 days 00:29:00
78,5679519b-a901-4970-8656-dbf60ffb618d,2017-07-20 04:23:00,2017-07-20 04:24:00,0 days 00:01:00
79,fff8f87a-e4a2-4f2c-b3d4-93a4ece95c4f,2017-06-06 23:42:00,2017-06-07 00:11:00,0 days 00:29:00
